ID,Titre,Sous-titre,Date,Lien
LIB_2025_001,"«Cluster», «gestes barrières», «tests antigéniques»… L’abécédaire du Covid-19","Pour fêter les cinq ans du premier confinement de mars 2020, «Libération» liste les mots et néologismes apparus durant la pandémie, qui sont entrer dans le langage courant de l’époque.",2025-03-17,https://www.liberation.fr/societe/sante/cluster-gestes-barrieres-tests-antigeniques-labecedaire-du-covid-19-20250317_ELGKAOSBRZHARD57BLVZMIVTVY/
LIB_2025_002,Vieillissement : quand un vaccin contre le zona protège du déclin cognitif,"Selon une étude réalisée au pays de Galles, le vaccin contre le zona diminuerait de 20 % sur sept ans le risque de déclencher des troubles cognitifs majeurs.",2025-04-02,https://www.liberation.fr/societe/sante/vieillissement-quand-un-vaccin-contre-le-zona-protege-du-declin-cognitif-20250402_ZCFCOHJFCJCX5D2ZK6TG2EHVLM/
LIB_2025_003,Fin du soutien américain à l’Alliance du vaccin : «Les risques concernent le monde entier»,"Selon la presse, l’administration Trump compte arrêter de financer l’organisation, centrale dans la vaccination mondiale. Une telle mesure risque d’être catastrophique, prévient le conseiller en vaccination de MSF France.",2025-03-30,https://www.liberation.fr/societe/sante/fin-du-soutien-americain-a-lalliance-du-vaccin-les-risques-concernent-le-monde-entier-20250330_235UUF33WNFOTE5DZYBOYWVF5E/
LIB_2025_004,"Cinq ans après l’apparition du Covid, le retour d’expérience de scientifiques","SERIE (1/7). Depuis 2020, Christian Lehmann tient pour «Libé» la chronique d’une société touchée par la crise sanitaire. Dans cet épisode, il a recontacté les scientifiques qu'il avait interrogés pour son «Journal d'épidémie».",2025-03-31,https://www.liberation.fr/societe/sante/cinq-ans-apres-lapparition-du-covid-le-retour-dexperience-de-scientifiques-20250331_XD7BSTQ5FZCIHOZYVZEDDKVFTY/
LIB_2025_005,"Pandémies : à l’OMS, un «accord de principe» trouvé entre les pays pour mieux protéger le monde, les Etats-Unis grands absents",Les Etats membres de l’Organisation mondiale de la santé annoncent ce samedi 12 avril s’être accordés sur un texte visant à anticiper et à réagir collectivement face aux futures pandémies. Il devra être adopté en mai à Genève.,2025-04-12,https://www.liberation.fr/societe/sante/pandemies-a-loms-un-accord-de-principe-trouve-entre-les-pays-pour-mieux-proteger-le-monde-les-etats-unis-grands-absents-20250412_34KAOI5IFFHK5JHZCTX5YMXXAI/
LIB_2025_006,Deux morts de la rougeole au Texas dans un contexte de défiance à l’égard des vaccins,"Deux personnes dont un mineur non-vacciné ont succombé à l’épidémie de rougeole, a annoncé ce mercredi 26 février le ministère de la Santé.",2025-02-26,https://www.liberation.fr/international/amerique/deux-morts-de-la-rougeole-au-texas-dans-un-contexte-de-defiance-a-legard-des-vaccins-20250226_AH4NIBAQRRDY3CEP5MOEBTU5WY/
LIB_2024_007,Baisse du nombre d’injections contre le Covid-19 : «Il y a une mauvaise compréhension de la nécessité de se faire vacciner»,"Brigitte Autran, présidente du Comité de veille et d’anticipation des risques sanitaires, incite à la vaccination contre le Covid-19 et la grippe, alors que la campagne actuelle rencontre bien moins de succès que l'an dernier.",2024-12-12,https://www.liberation.fr/societe/sante/covid-19-il-y-a-une-mauvaise-comprehension-de-la-necessite-de-se-faire-vacciner-20241212_FO2ZJTHPDZBYZN7SBSDCJPHSZE/
LIB_2025_008,"Covid-19 : cinq ans après l’épidémie, la France immunisée contre les ratés ?","En 2020, la pandémie étalait les failles du système sanitaire français. Des enseignements ont été tirés quant aux stocks de protection, aux organismes de pilotage de crise et à la préparation des soignants.",2025-02-16,https://www.liberation.fr/societe/sante/covid-19-cinq-ans-apres-la-france-immunisee-contre-les-rates-20250216_MQYRUZUMARDSND3HGIWG4J454M/
LIB_2025_009,"Le Covid à long terme, ou les séquelles de la pandémie sur le système de santé","Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique d’une société touchée par les crises sanitaires et du service public.",2025-03-13,https://www.liberation.fr/societe/sante/le-covid-a-long-terme-ou-les-sequelles-de-la-pandemie-sur-le-systeme-de-sante-20250313_7UMDGF6YGNFUVO64ZKT47IC77Q/
LIB_2025_010,"Rougeole aux Etats-Unis : un deuxième enfant est mort, Donald Trump minimise l’épidémie","Cette maladie très contagieuse, qui avait été éradiquée dans le pays en 2000, circule à nouveau activement depuis quelques mois. Le nouveau ministre de la Santé, Robert F. Kennedy Jr, se range enfin en faveur de la vaccination.",2025-04-07,https://www.liberation.fr/societe/sante/rougeole-aux-etats-unis-un-deuxieme-enfant-est-mort-trump-minimise-lepidemie-20250407_YI5IVKSJDRDI3M2EPNSWHLY4SY/
LIB_2025_011,"Vaccins, symptômes persistants, prévention… Que reste-t-il du Covid, cinq ans après le premier mort à Wuhan ?","En l’espace de quelques semaines, un virus mystérieux surgi en Chine aura mis le monde à l’arrêt dans une pandémie meurtrière. Si la crise est derrière nous, certains de ses répercussions et enseignements demeurent.",2025-01-11,https://www.liberation.fr/societe/sante/vaccins-symptomes-persistants-prevention-que-reste-t-il-du-covid-cinq-ans-apres-le-premier-mort-a-wuhan-20250111_QGQ4YTWVCZCURC47TAMYUICUQY/
LIB_2024_012,"Covid : seuls 5 % des enfants ont été vaccinés en France, le Sud-Est et les familles défavorisées moins bien lotis",Santé publique France (SPF) a publié ce mardi 10 décembre les conclusions de la première étude sur la vaccination contre le Covid-19 chez les 5- 11 ans. Elle met en lumière «des disparités régionales et sociales».,2024-12-10,https://www.liberation.fr/societe/sante/covid-seuls-5-des-enfants-ont-ete-vaccines-en-france-le-sud-est-et-les-familles-defavorisees-moins-bien-lotis-20241210_7G7OG5HYCZH6XGCOZETRDCE5BA/
LIB_2025_013,"Cinq ans après, le Covid en voie de banalisation","Le virus entraîne toujours des transmissions et hospitalisations, mais son impact n’a rien à voir avec ce 2020 et 2021. Il commence s’installer parmi les autres infections respiratoires, sans être anodin et complètement prévisible.",2025-02-24,https://www.liberation.fr/societe/sante/cinq-ans-apres-le-covid-en-voie-de-banalisation-20250224_4FHZKYUZGZCUJNRRIPRPIWZ6BM/
LIB_2025_014,Le vaccino-sceptique Kennedy confirmé comme ministre de la Santé et félicité par le patron de l’OMS,"Le directeur général de l’Organisation mondiale de la santé a félicité ce jeudi 13 février la confirmation de Robert Kennedy Jr. à la tête du ministère américain de la Santé, malgré ses positions antivaccins.",2025-02-13,https://www.liberation.fr/international/amerique/le-vaccino-sceptique-kennedy-confirme-comme-ministre-de-la-sante-et-felicite-par-le-patron-de-loms-20250213_QMXV3WW5CFGANFNIYZ7M2K74AQ/
LIB_2024_015,Grippe et Covid : tout savoir sur la campagne de vaccination annuelle qui débute ce mardi,"Plus de 65 ans, personnes avec comorbidités, immunodéprimées… Plus de 17,2 millions de personnes à risques de forme grave sont appelées à se faire immuniser à partir de ce mardi 15 octobre, jusqu’au 31 janvier.",2024-10-15,https://www.liberation.fr/societe/sante/grippe-et-covid-tout-savoir-sur-la-campagne-de-vaccination-annuelle-qui-debute-ce-mardi-20241015_3ZT3GP6BC5H7RPL4ODYSBAM6TQ/
LIB_2024_016,"Covid-19 : face au déclin de la demande, AstraZeneca retire son vaccin de la vente","Le géant pharmaceutique Astrazeneca, qui était l’un des premiers à avoir mis sur le marché un vaccin contre le Covid-19 pendant la pandémie, a annoncé ce mercredi 8 mai le retirer de la vente, citant des raisons commerciales.",2024-05-08,https://www.liberation.fr/societe/sante/covid-19-face-au-declin-de-la-demande-astrazeneca-retire-son-vaccin-de-la-vente-20240508_L4G2URSJOBH45MABHXCEWNBATM/
LIB_2023_017,Covid-19 : le gouvernement «se tient prêt» à avancer la campagne de vaccination,"Face à la recrudescence de cas de Covid-19, le gouvernement envisage d’avancer la date du début de campagne, pour l’heure fixée au 17 octobre. Il n’y a toutefois pas de durcissement du protocole à l’ordre du jour.",2023-09-05,https://www.liberation.fr/societe/sante/covid-19-le-gouvernement-se-tient-pret-a-avancer-la-campagne-de-vaccination-20230905_YJBSCLLCEREW5NH2S4H2Z27QTU/
LIB_2024_018,"Pfizer a-t-il reconnu un lien entre la mort de Mauricette Doyer, décédée de Creutzfeldt-Jakob, et le vaccin anti-Covid, comme l’affirme son fils?",L’accusation portant sur la mort de cette septuagénaire au printemps 2022 est basée sur un pré-rapport d’expertise judiciaire. Dont les auteurs semblent plutôt affirmer l’inverse.,2024-01-10,https://www.liberation.fr/checknews/pfizer-a-t-il-reconnu-un-lien-entre-la-mort-de-mauricette-doyer-decedee-de-creutzfeldt-jakob-et-le-vaccin-anti-covid-comme-laffirme-son-fils-20240110_HASBIPNW6ZAYJL7FNM3MDTQ4Y4/
LIB_2024_019,"Face aux dangers du Covid, le rapport bénéfice-risque évident du vaccin","Une étude du «Journal of the American Medical Association» vient rappeler ce lundi 26 août les précautions à prendre dans la fabrication des prochains vaccins à ARN messager, sans remettre en cause leur effets positifs globaux.",2024-08-26,https://www.liberation.fr/societe/sante/face-aux-dangers-du-covid-le-rapport-benefice-risque-evident-du-vaccin-20240826_FI5CGG6H2VCZ5ERJMK2SX5E4UM/
LIB_2025_020,Vaccination contre la grippe : «L’objectif est avant tout de protéger les plus fragiles contre les formes sévères»,"En pleine épidémie, l’infectiologue Anne-Claude Crémieux insiste sur l’importance du vaccin chez les personnes fragiles pour limiter les formes graves, alors que la maladie est à l’origine d’environ 9 000 morts par an.",2025-01-10,https://www.liberation.fr/societe/sante/vaccination-contre-la-grippe-lobjectif-est-avant-tout-de-proteger-les-plus-fragiles-contre-les-formes-severes-20250110_IESHAVCRBVGC3DMZFN5EEINMPM/
LIB_2024_021,Covid-19 : Booba relaie la théorie de Marc Doyer sur le lien entre vaccin et maladie de Creutzfeldt-Jakob,"Fort de plus de 6 millions de followers sur le réseau social X, le rappeur y a affirmé que le pourfendeur de Pfizer, qui considère que le vaccin anti-Covid est responsable du décès de sa femme, «dit la vérité».",2024-01-19,https://www.liberation.fr/checknews/covid-19-booba-relaie-la-theorie-de-marc-doyer-sur-le-lien-entre-vaccin-et-maladie-de-creutzfeldt-jakob-20240119_T7K7UR2P6FARVF2PKGSRM6K754/
LIB_2022_022,Covid-19 : le vaccin perd-il en efficacité si les rappels sont trop rapprochés ?,"Si des vaccinations trop rapprochées avec un même vaccin ne semblent pas délétères, espacer les rappels de plusieurs mois améliorerait la qualité de la réponse immunitaire, selon l’Agence européenne du médicament.",2022-12-21,https://www.liberation.fr/checknews/covid-19-le-vaccin-perd-il-en-efficacite-si-les-rappels-sont-trop-rapproches-20221221_V66FLSDM2JHSPDYDPKXVAAKHX4/
LIB_2024_023,Pourquoi la création d’un prix à la mémoire de Michèle Rivasi suscite-t-elle la controverse ?,Le lancement d’un prix destiné à mettre en avant «les lanceurs d’alertes» nourrit des critiques car il porte le nom d’une eurodéputée (morte fin 2023) coutumière de prises de position en franche contradiction avec les faits scientifiques.,2024-12-21,https://www.liberation.fr/checknews/pourquoi-la-creation-dun-prix-a-la-memoire-de-michele-rivasi-suscite-t-elle-la-controverse-20241221_E5PI7BY6QZGQLAEZQKBJ226GIQ/
LIB_2021_024,Covid-19 : éviter les non-dits sur les effets indésirables du vaccin,"Christian Lehmann est médecin et écrivain. Pour «Libération», il tient la chronique d’une société suspendue à l’évolution du coronavirus. Aujourd’hui, il exhorte les responsables publics à communiquer sur les effets indésirables du vaccin.",2021-11-19,https://www.liberation.fr/societe/sante/covid-19-eviter-les-non-dits-sur-les-effets-indesirables-du-vaccin-20211119_XFBRIBSH45HU7JGKVXYNRB3BCI/
LIB_2022_025,Covid-19 : la vaccination des enfants à risque recommandée dès 6 mois,"La Haute autorité de santé ouvre la porte à un vaccin anti-Covid, celui de Pfizer /BioNTech, pour les enfants de 6 mois à quatre ans. Une première en France.",2022-12-19,https://www.liberation.fr/societe/sante/covid-19-la-vaccination-des-enfants-a-risque-recommandee-des-6-mois-20221219_HZSAFGPPC5CHDOVSHG5F4RN2GY/
LIB_2023_026,Peut-on affirmer comme Aurélien Rousseau qu’il n’y a «pas d’effets secondaires» avec les vaccins anti-Covid?,"Si les effets secondaires les plus préoccupants restent rares, voire très rares, leur imputation à la vaccination est bel et bien confirmée par la pharmacovigilance. N’en déplaise au ministre de la Santé.",2023-10-04,https://www.liberation.fr/checknews/peut-on-affirmer-comme-aurelien-rousseau-quil-ny-a-pas-deffets-secondaires-avec-les-vaccins-anti-covid-20231004_MI4NIZHAXBGBJNREEXGJFHV4AQ/
LIB_2023_027,"Grippe, Covid-19, bronchiolite… En cette saison de vaccinations, quelles piqûres et pour qui ?",La campagne annuelle contre la grippe saisonnière qui s’ouvre ce mardi 17 octobre complète la liste des injections proposées aux Français cet automne. «Libé» fait le point pour s’y retrouver.,2023-10-17,https://www.liberation.fr/societe/sante/grippe-covid-19-bronchiolite-en-cette-saison-de-vaccinations-quelles-piqures-et-pour-qui-20231017_PVO4YPJN6VAXJFXLWZGWTNJN6A/
