Titre;Sous-titre;Date;Lien
Tests, jauges, fête entre personnes contaminées... Les questions qui se posent avant le Nouvel An;FOCUS - Alors que la France vient de franchir la barre des 100.000 nouvelles contaminations au Covid-19 en 24 heures, quelles sont les règles à suivre pour passer un Nouvel An en toute sérénité ?;18/12/2021;https://www.lefigaro.fr/actualite-france/covid-19-jauges-dose-de-rappel-cas-contact-les-questions-qui-se-posent-a-une-semaine-de-noel-20211218
«Laissez des lits libres pour les cancers» : la colère des patients aux opérations déprogrammées;TÉMOIGNAGES - Dans toute la France, des opérations se font déprogrammer, laissant de nombreux patients dans l'obscurité.;06/01/2022;https://www.lefigaro.fr/actualite-france/laissez-des-lits-libres-pour-les-cancers-la-colere-des-patients-aux-operations-deprogrammees-20220106
Nos 15 destinations ensoleillées pour les vacances d'hiver;LA SÉLECTION DU FIGARO - Les Français ont plus que jamais besoin de dépaysement. Plages, nature, culture: à quelques jours des vacances d'hiver, qui débutent le 5 février dans la zone B, nos idées pour toutes les envies.;26/01/2022;https://www.lefigaro.fr/voyages/inspiration/envie-de-partir-nos-15-destinations-soleil-de-derniere-minute-20220126
Covid-19 - «Imprudence» contre volonté de «vivre avec le virus» : les scientifiques partagés sur la levée progressive des restrictions;Jean Castex et Olivier Véran ont dévoilé jeudi un calendrier de levée progressive des restrictions sanitaires avec en ligne de mire la fin du télétravail obligatoire, des jauges et du port du masque à l'extérieur.;21/01/2022;https://www.lefigaro.fr/sciences/decale-imprudent-les-scientifiques-accueillent-la-levee-progressive-des-restrictions-avec-scepticisme-20220121
Des manifestants anti-passe sanitaire interrompent une avant-première du prochain film de Xavier Beauvois;«On fait ça pour vous», auraient déclaré les manifestants lors d'une projection du film à Caen. Du mobilier a été dégradé et des employés bousculés.;12/09/2021;https://www.lefigaro.fr/cinema/des-manifestants-anti-passe-sanitaire-interrompent-une-avant-premiere-du-prochain-film-de-xavier-beauvois-20210912
En Autriche, grande randonnée dans le Tyrol, sur la route de l'Ötztal;REPORTAGE - Couronnée de puissants sommets glaciaires, la vallée de l'Ötztal dessine un microcosme alpin entre douceur de vivre et nature brute. Nous avons arpenté sa haute route, l'Ötztal trek, de refuges en auberges. Une grande randonnée dans des paysages majuscules, ponctuée d'étapes...;21/05/2021;https://www.lefigaro.fr/voyages/inspiration/carnet-de-voyage-en-autriche-le-tyrol-pas-a-pas-sur-la-route-de-l-oetztal-20210521
Chrysoula Zacharopoulou, secrétaire d'État et gynécologue accusée de viols : l'enquête classée sans suite;Spécialiste de l'endométriose, la secrétaire d'État, chargée du Développement, de la Francophonie et des Partenariats internationaux était accusée de viols et violences gynécologiques par trois de ses anciennes patientes. L'enquête à été classée sans suite, a indiqué le parquet de Paris.;08/07/2022;https://madame.lefigaro.fr/societe/actu/chrysoula-zacharopoulou-la-secretaire-d-etat-accusee-de-viols-une-gynecologue-dans-la-tourmente-20220708
À Bangkok, le blues des chauffeurs de tuk-tuks face à l'absence des touristes;Les tuk-tuks iconiques de Bangkok s'entassent par centaines dans d'immenses cimetières faute de clients dans le pays confronté à une flambée épidémique de coronavirus et en grande partie fermé aux touristes.;23/07/2021;https://www.lefigaro.fr/voyages/a-bangkok-le-blues-des-chauffeurs-de-tuk-tuks-face-a-l-absence-des-touristes-20210723
Khosta 2 : pourquoi il ne faut pas s'inquiéter du nouveau coronavirus découvert en Russie;DÉCRYPTAGE - Des scientifiques affirment que ce nouveau virus pourrait contourner la protection immunitaire apportée par les vaccins. D'autres invitent à ne pas céder à la psychose, rappelant qu'il n'a pas été constaté chez l'homme.;26/09/2022;https://www.lefigaro.fr/sciences/khosta-2-pourquoi-il-ne-faut-pas-s-inquieter-du-nouveau-coronavirus-decouvert-en-russie-20220926
"Elsa Godart : ""Il faut se méfier des effets pervers de la bienveillance""";Interview.- Dans une société qui pousse sans cesse à l’autoévaluation, il est tentant de se sentir coupable. La philosophe et psychanalyste invite à s’en affranchir. Un objectif vivifiant et libérateur.;06/11/2021;https://madame.lefigaro.fr/bien-etre/elsa-godart-il-faut-se-mefier-des-effets-pervers-de-la-bienveillance-071121-198909
