Titre,Sous-titre,Date,Lien
Vaccination contre le Covid-19 : l’Allemagne envisage un vaccin obligatoire,"Le futur chancelier Olaf Scholz s’est prononcé en faveur d’une telle mesure, mardi 30 novembre. L’opinion publique allemande s’y montre aujourd’hui beaucoup plus favorable qu’au printemps.",2021-11-30,https://www.lemonde.fr/international/article/2021/11/30/covid-19-face-a-l-aggravation-de-la-situation-sanitaire-l-allemagne-en-marche-vers-la-vaccination-obligatoire_6104217_3210.html
Vaccin Covid-19 et femmes enceintes : la vaccination est possible dès le début de la grossesse,"Le ministre de la santé, Olivier Véran, a annoncé mardi une liste très restreinte de contre-indications médicales au vaccin. La grossesse n’en fait pas partie.",2021-07-20,https://www.lemonde.fr/societe/article/2021/07/20/la-vaccination-contre-le-covid-19-est-possible-des-le-debut-de-la-grossesse_6088958_3224.html
Covid-19 : le variant Omicron peut contourner les défenses vaccinales,"Les premières données expérimentales, dont celles du pionnier des vaccins à ARN messager BioNTech, montrent que deux doses devraient être insuffisantes pour contrer l’infection. Les résultats sont plus encourageants avec trois doses.",2021-12-09,https://www.lemonde.fr/planete/article/2021/12/09/covid-19-le-variant-omicron-peut-contourner-les-defenses-vaccinales_6105340_3244.html
Vaccins contre le Covid-19 : faudra-t-il une quatrième dose ?,"En France, les autorités sanitaires s’interrogent sur la nécessité d’une nouvelle injection pour les personnes ayant reçu leur rappel il y a plus de quatre mois.",2022-01-13,https://www.lemonde.fr/planete/article/2022/01/13/vaccins-contre-le-covid-19-le-dilemme-de-la-quatrieme-dose_6109260_3244.html
"Covid-19 : avec le variant Omicron, des réinfections de plus en plus fréquentes","Entre début mars et décembre 2021, celles-ci constituaient 0,8 % de l’ensemble des infections en France. Elles en représentaient 3,6 % entre début décembre et fin janvier.",2022-02-19,https://www.lemonde.fr/planete/article/2022/02/19/covid-19-avec-omicron-une-flambee-de-reinfections_6114415_3244.html
Variant Omicron : l’OMS craint que les pays riches accumulent les vaccins au détriment des Etats plus pauvres,"« La seule façon de ralentir cette maladie est de faire en sorte que toutes les personnes à risque soient vaccinées », a rappelé une responsable de l’Organisation mondiale de la santé. En Afrique, seuls 7,8 % de la population sont entièrement vaccinés.",2021-12-09,https://www.lemonde.fr/planete/article/2021/12/09/variant-omicron-l-oms-craint-que-les-pays-riches-accumulent-les-vaccins-au-detriment-des-etats-plus-pauvres_6105364_3244.html
"Avec les « vaxxies », des Européens témoignent de leur vaccination contre le Covid-19","Contraction de « vaccin » et « selfie », l’expression est utilisée par de nombreux internautes pour raconter la procédure en cours dans leur pays, souvent allégée et accélérée.",2021-01-08,https://www.lemonde.fr/planete/article/2021/01/08/avec-les-vaxxies-des-europeens-temoignent-de-leur-vaccination-contre-le-covid-19_6065610_3244.html
Covid-19 : la Guyane sous tension car peu vaccinée,"En manque de lits pour accueillir les malades du Covid-19, les hôpitaux guyanais sont en outre confrontés à des mouvements de grève contre l’obligation vaccinale.",2021-09-24,https://www.lemonde.fr/planete/article/2021/09/24/hopitaux-satures-population-peu-vaccinee-la-guyane-sous-tension_6095933_3244.html
Covid-19 : tour de vis sanitaire et crise de confiance en Polynésie française,"De nouvelles mesures ont été annoncées dans cette collectivité d’outre-mer qui compte le taux d’incidence parmi les plus élevés du monde, dans un contexte de défiance de la population envers les autorités.",2021-08-12,https://www.lemonde.fr/politique/article/2021/08/12/covid-19-tour-de-vis-sanitaire-et-crise-de-confiance-en-polynesie-francaise_6091251_823448.html
"Variant Delta du Covid-19 : en Polynésie française, les soignants contraints de pratiquer une « médecine de guerre »","Avec un taux d’incidence proche de 2 800 cas pour 100 000 habitants, la Polynésie française est le territoire des outre-mer le plus touché par le Covid-19. Au centre hospitalier de Tahiti, les médecins se voient contraints de trier les patients.",2021-08-22,https://www.lemonde.fr/planete/article/2021/08/22/variant-delta-en-polynesie-francaise-les-soignants-contraints-de-pratiquer-une-medecine-de-guerre_6092050_3244.html
"Covid-19 : en Polynésie, levée partielle du confinement",Seuls 46 % des habitants de cette collectivité d’outre-mer ont un schéma vaccinal complet.,2021-09-17,https://www.lemonde.fr/planete/article/2021/09/17/covid-19-en-polynesie-levee-partielle-du-confinement_6094995_3244.html
"En Guadeloupe, l’amère fin de lutte des « suspendus » non vaccinés contre le Covid-19","« Guadeloupe, une île sous tension » (3/3). Selon les autorités, quelque 250 personnels soignants restent suspendus sur l’île pour avoir refusé de se vacciner contre le coronavirus. Un bras de fer sanitaire qui n’a cessé, au fil des mois, de nourrir un sentiment de rejet de l’Etat de plus en plus fort.",2022-11-18,https://www.lemonde.fr/societe/article/2022/11/18/en-guadeloupe-l-amere-fin-de-lutte-des-suspendus-non-vaccines-contre-le-covid-19_6150414_3224.html
La polio au plus haut depuis dix ans à travers le monde,"Malgré la certification par l’OMS de l’éradication du virus sauvage de la poliomyélite en Afrique, la maladie est repartie à la hausse – 423 cas à fin août –, profitant de l’arrêt des vaccinations durant la pandémie de Covid-19.",2020-09-01,https://www.lemonde.fr/sciences/article/2020/09/01/la-polio-au-plus-haut-depuis-dix-ans-a-travers-le-monde_6050608_1650684.html
Covid-19 : les atouts des généralistes pour augmenter encore les taux de vaccination,"Connaissance des patients, possibilité de se rendre au domicile… L’investissement renouvelé des médecins de ville dans la campagne vaccinale pourrait convaincre les plus hésitants.",2021-10-11,https://www.lemonde.fr/planete/article/2021/10/11/covid-19-les-atouts-des-generalistes-pour-augmenter-encore-les-taux-de-vaccination_6097901_3244.html
Covid-19 : le variant Delta provoquerait bien une maladie plus sévère,"Selon une étude britannique publiée jeudi dans « The Lancet Infectious Diseases », le variant Delta entraîne deux fois plus de risque d’être hospitalisé que la souche Alpha.",2021-08-28,https://www.lemonde.fr/planete/article/2021/08/28/covid-19-le-variant-delta-provoquerait-bien-une-maladie-plus-severe_6092588_3244.html
Covid-19 : une réponse immunitaire qui persiste au moins huit mois après les premiers symptômes,"Après une première infection, les patients qui ont contracté le Covid-19 peuvent développer une réponse « de type B », selon une étude australienne.",2020-12-24,https://www.lemonde.fr/sciences/article/2020/12/24/covid-19-une-reponse-immunitaire-qui-persiste-au-moins-huit-mois-apres-les-premiers-symptomes_6064445_1650684.html
"Covid-19 : aux Etats-Unis, des scientifiques s’injectent leur propre vaccin sans essai clinique préalable","Si la pratique n’est pas encouragée par les autorités sanitaires américaines, l’expérimentation sur soi de vaccins « faits maison » a une longue histoire derrière elle.",2020-09-11,https://www.lemonde.fr/planete/article/2020/09/11/covid-19-aux-etats-unis-des-scientifiques-s-injectent-leur-propre-vaccin-sans-essai-clinique-prealable_6051812_3244.html
"Au Sénégal, « certains préféreraient mourir que d’être vaccinés contre le Covid-19 »","La campagne vaccinale a commencé le 23 février dans le pays, qui a reçu 200 000 doses du laboratoire chinois Sinopharm.",2021-02-26,https://www.lemonde.fr/afrique/article/2021/02/26/au-senegal-certains-prefereraient-mourir-que-d-etre-vaccines-contre-le-covid-19_6071352_3212.html
Covid-19 : êtes-vous éligible au nouveau rappel vaccinal ?,"La campagne automnale de vaccination, nécessaire pour contenir l’épidémie cet hiver, peine à convaincre les personnes éligibles. Les Décodeurs font le point sur qui a le droit à quel vaccin.",2022-12-02,https://www.lemonde.fr/planete/article/2022/12/02/covid-19-etes-vous-eligible-au-deuxieme-rappel-de-vaccin_6152726_3244.html
"Du zéro Covid à la brusque levée des restrictions, trois ans de gestion sanitaire abrupte par la Chine","Le pays a dû renoncer brutalement à une politique sanitaire devenue intenable, financièrement et socialement.",2022-12-31,https://www.lemonde.fr/planete/article/2022/12/31/du-zero-covid-a-la-brusque-levee-des-restrictions-trois-ans-de-gestion-sanitaire-abrupte-par-la-chine_6156152_3244.html
Les autorités de santé françaises recommandent la vaccination de certains bébés contre le Covid-19,"Les avis de la HAS sont théoriquement consultatifs, mais le ministère de la santé les suit presque systématiquement.",2022-12-19,https://www.lemonde.fr/planete/article/2022/12/19/les-autorites-de-sante-francaises-recommandent-la-vaccination-de-certains-bebes-contre-le-covid-19_6155052_3244.html
"Covid-19 : en Europe, la vaccination obligatoire s’impose comme l’ultime recours dans les pays qui résistent au vaccin","Le débat s’installe après la décision de l’Autriche, de la Grèce ou encore de la Pologne de recourir à cette mesure, pour l’ensemble ou une partie de la population, afin de contenir la nouvelle vague de contaminations.",2021-12-08,https://www.lemonde.fr/planete/article/2021/12/08/covid-19-en-europe-la-vaccination-obligatoire-s-impose-comme-l-ultime-recours-dans-les-pays-qui-resistent-au-vaccin_6105111_3244.html
Covid-19 : la réussite de la campagne de vaccination ternie par des disparités et des rappels insuffisants,"Dans un bilan publié mercredi, la Cour des comptes émet plusieurs recommandations pour faire face aux prochaines épidémies.",2022-12-14,https://www.lemonde.fr/planete/article/2022/12/14/covid-19-la-reussite-de-la-campagne-de-vaccination-ternie-par-des-disparites-et-des-rappels-insuffisants_6154339_3244.html
"Covid-19 : à Pékin et dans plusieurs villes de Chine, la progression spectaculaire de la maladie","Depuis la mi-novembre, avant même l’abandon de la politique zéro Covid, le nombre de personnes infectées a explosé. Alors que les restrictions sanitaires ont été levées par le pouvoir central, les habitants sont contraints de se confiner.",2022-12-17,https://www.lemonde.fr/planete/article/2022/12/17/covid-19-a-pekin-et-dans-plusieurs-villes-de-chine-la-progression-spectaculaire-de-la-maladie_6154803_3244.html
"Le choléra se propage dans le monde, alors que les vaccins manquent","La maladie, transmise par les eaux souillées et les mauvaises conditions d’hygiène, est alimentée par les conflits et la pauvreté, et amplifiée par le changement climatique, dont l’impact est de plus en plus visible.",2022-12-21,https://www.lemonde.fr/planete/article/2022/12/21/le-cholera-se-propage-dans-le-monde-alors-que-les-vaccins-manquent_6155232_3244.html
Les dérives des interventions des cabinets de conseil pendant la crise sanitaire,"McKinsey, Roland Berger, Citwell… Les missions des consultants pendant la pandémie de Covid-19 se sont faites dans des « conditions problématiques », selon un rapport confidentiel de la Cour des comptes révélé par « Le Monde ».",2022-12-12,https://www.lemonde.fr/les-decodeurs/article/2022/12/12/les-derives-des-interventions-des-cabinets-de-conseil-pendant-la-crise-sanitaire_6153989_4355770.html
"Face à la « triple épidémie », le ministre de la santé appelle à un « sursaut » de la vaccination","Devant la « triple vague » de bronchiolite, de Covid-19 et de grippe, François Braun a défendu vendredi le principe d’une stratégie gouvernementale non coercitive, soulignant qu’« il est temps de démontrer que le bon sens et le respect peuvent triompher de la réglementation et les amendes ».",2022-12-10,https://www.lemonde.fr/societe/article/2022/12/10/face-a-la-triple-epidemie-le-ministre-de-la-sante-appelle-a-un-sursaut-de-la-vaccination_6153810_3224.html
"A Paris, au cœur des défilés, la colère contre le passe sanitaire, la haine contre Emmanuel Macron","Selon la police, 11 000 personnes ont manifesté, samedi 24 juillet, à Paris contre la politique sanitaire du gouvernement.",2021-07-24,https://www.lemonde.fr/politique/article/2021/07/24/a-paris-au-c-ur-des-defiles-la-colere-contre-le-passe-sanitaire-la-haine-contre-emmanuel-macron_6089439_823448.html
Covid-19 : le gouvernement appelle les plus fragiles à faire un nouveau rappel du vaccin,Le porte-parole du gouvernement Olivier Véran déplore que « seuls 20 % » des Français âgés ou malades soient « à jour » en pleine reprise épidémique de Covid-19 et de grippe.,2022-12-01,https://www.lemonde.fr/planete/article/2022/12/01/covid-19-olivier-veran-appelle-les-plus-fragiles-a-se-refaire-vacciner_6152495_3244.html
Covid-19 : les raisons de l’échec de la campagne de rappel vaccinal en France,"En pleine reprise épidémique, seuls 9,4 % des plus de 80 ans et 7,2 % des 60-79 ans ont reçu une nouvelle injection. La banalisation du Covid-19 et le manque de clarté des messages sanitaires sont en cause.",2022-12-03,https://www.lemonde.fr/planete/article/2022/12/03/covid-19-les-raisons-de-l-echec-de-la-campagne-de-rappel-vaccinal_6152765_3244.html
Vaccins et médicaments : la longue marche vers des « communs de la santé »,La pandémie due au coronavirus a relancé le débat : comment assurer un accès équitable à ces « biens publics mondiaux » dans un système économique où la santé est un bien marchand comme les autres ?,2020-07-29,https://www.lemonde.fr/series-d-ete/article/2020/07/29/vaccins-et-medicaments-la-longue-marche-vers-des-communs-de-la-sante_6047565_3451060.html
"Vacciner massivement les personnes les plus âgées, une possible porte de sortie de la politique zéro Covid pour la Chine",Il faudrait que 97 % des plus de 60 ans soient vaccinés à trois doses pour que le système de santé chinois ne soit pas débordé par la levée de cette politique de plus en plus décriée.,2022-11-30,https://www.lemonde.fr/planete/article/2022/11/30/zero-covid-en-chine-vacciner-les-plus-ages-pour-sortir-de-l-impasse_6152336_3244.html
"Face aux protestations, la Chine menace et envoie des signaux faibles d’ouverture","Déployée en grand nombre, à Shanghaï et dans d’autres villes chinoises, la police continue d’interpeller les manifestants tandis que les autorités suggèrent un léger relâchement de la politique zéro Covid.",2022-11-30,https://www.lemonde.fr/international/article/2022/11/30/face-aux-protestations-la-chine-menace-et-envoie-des-signaux-faibles-d-ouverture_6152329_3210.html
"Objectif zéro paludisme en Afrique : malgré des avancées majeures, un horizon encore lointain",La mise au point de deux vaccins ouvre de nouvelles perspectives pour la prévention de cette maladie dont le continent reste la première victime.,2022-11-28,https://www.lemonde.fr/afrique/article/2022/11/28/objectif-zero-paludisme-en-afrique-malgre-des-avancees-majeures-un-horizon-encore-lointain_6152018_3212.html
Covid-19 : l’Union européenne approuve pour la première fois un vaccin Sanofi,"La Commission européenne a autorisé jeudi le nouveau vaccin fabriqué avec le britannique GSK, et destiné au rappel des adultes déjà vaccinés.",2022-11-10,https://www.lemonde.fr/planete/article/2022/11/10/covid-19-l-union-europeenne-approuve-pour-la-premiere-fois-un-vaccin-sanofi_6149388_3244.html
« Entre la Toussaint et le 11-Novembre sont apparues des hirondelles d’automne qui ont fait s’envoler Wall Street »,"CHRONIQUE. Arnaud Leparmentier, correspondant du « Monde » à New York, liste, dans sa chronique, cinq bonnes nouvelles qui expliqueraient le rebond de la Bourse américaine.",2022-11-15,https://www.lemonde.fr/idees/article/2022/11/15/entre-la-toussaint-et-le-11-novembre-sont-apparues-des-hirondelles-d-automne-qui-ont-fait-s-envoler-wall-street_6149874_3232.html
"Plus de 10 000 faux passes sanitaires, 400 000 euros de recettes sur un carnet de comptes… Une équipe de petits arnaqueurs devant la justice","Onze personnes – rabatteurs sur les réseaux sociaux, intermédiaires ou celles et ceux qui aident au blanchiment – ont été mises en examen dans cette affaire qui a démarré en août 2021.",2022-11-08,https://www.lemonde.fr/societe/article/2022/11/08/plus-de-10-000-faux-passes-sanitaires-400-000-euros-de-recettes-sur-un-carnet-de-comptes-une-equipe-de-petits-arnaqueurs-devant-la-justice_6148940_3224.html
"Outre le Covid-19 et la grippe saisonnière, les pharmaciens peuvent désormais administrer une dizaine de vaccins","Le projet de loi de financement de la Sécurité sociale, adopté en première lecture, prévoit que ces professionnels puissent bientôt prescrire des vaccins.",2022-11-07,https://www.lemonde.fr/societe/article/2022/11/07/outre-le-covid-19-et-la-grippe-saisonniere-les-pharmaciens-peuvent-desormais-administrer-une-dizaine-de-vaccins_6148817_3224.html
Vaccins contre le Covid-19 : les saignements menstruels reconnus comme un effet indésirable potentiel,De nombreuses patientes avaient témoigné de ces effets secondaires. Près de 3 500 signalements ont été déposés auprès de l’Agence nationale de sécurité du médicament entre juillet et septembre.,2022-10-28,https://www.lemonde.fr/planete/article/2022/10/28/vaccins-contre-le-covid-19-les-saignements-menstruels-reconnus-comme-un-effet-indesirable-potentiel_6147783_3244.html
La réponse de Facebook au flot de messages antivaccination a été mal ciblée,"Facebook Files | D’après des documents internes, le réseau social a vite réagi contre les messages antivaccination. Mais les outils mis en place n’ont pas suffi à endiguer les nombreux messages problématiques.",2021-10-27,https://www.lemonde.fr/pixels/article/2021/10/27/contre-les-messages-antivaccination-l-approche-en-plusieurs-doses-de-facebook_6100011_4408996.html
